stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.608899 s]:	received 1213424 bytes....
[1556527277.609774 s]:	received 1217768 bytes....
[1556527277.610211 s]:	received 1225008 bytes....
[1556527277.610258 s]:	received 1230800 bytes....
[1556527277.610327 s]:	received 1232248 bytes....
[1556527277.610849 s]:	received 1240440 bytes....
[1556527277.610867 s]:	received 1242384 bytes....
[1556527277.611214 s]:	received 1246728 bytes....
[1556527277.611288 s]:	received 1251072 bytes....
[1556527277.611473 s]:	received 1252520 bytes....
[1556527277.611652 s]:	received 1256864 bytes....
[1556527277.612076 s]:	received 1265056 bytes....
[1556527277.612094 s]:	received 1267000 bytes....
[1556527277.612495 s]:	received 1271344 bytes....
[1556527277.612539 s]:	received 1275688 bytes....
[1556527277.612600 s]:	received 1277136 bytes....
[1556527277.612679 s]:	received 1278584 bytes....
[1556527277.613110 s]:	received 1282928 bytes....
[1556527277.613180 s]:	received 1285824 bytes....
[1556527277.613191 s]:	received 1287272 bytes....
[1556527277.613292 s]:	received 1288720 bytes....
[1556527277.613431 s]:	received 1291616 bytes....
[1556527277.614081 s]:	received 1295960 bytes....
[1556527277.614542 s]:	received 1304152 bytes....
[1556527277.614560 s]:	received 1306096 bytes....
[1556527277.614598 s]:	received 1310440 bytes....
[1556527277.614689 s]:	received 1311888 bytes....
[1556527277.614774 s]:	received 1313336 bytes....
[1556527277.615160 s]:	received 1317680 bytes....
[1556527277.615646 s]:	received 1324920 bytes....
[1556527277.615702 s]:	received 1330712 bytes....
[1556527277.615779 s]:	received 1332160 bytes....
[1556527277.615831 s]:	received 1333608 bytes....
[1556527277.616260 s]:	received 1337952 bytes....
[1556527277.616302 s]:	received 1342296 bytes....
[1556527277.616400 s]:	received 1345192 bytes....
[1556527277.616483 s]:	received 1346640 bytes....
[1556527277.616563 s]:	received 1348088 bytes....
[1556527277.616866 s]:	received 1352432 bytes....
[1556527277.616944 s]:	received 1355328 bytes....
[1556527277.617171 s]:	received 1359672 bytes....
[1556527277.617253 s]:	received 1361120 bytes....
[1556527277.617309 s]:	received 1362568 bytes....
[1556527277.617937 s]:	received 1364016 bytes....
[1556527277.618007 s]:	received 1365464 bytes....
[1556527277.628682 s]:	received 1366912 bytes....
[1556527277.628808 s]:	received 1368360 bytes....
[1556527277.629511 s]:	received 1369808 bytes....
[1556527277.633584 s]:	received 1371256 bytes....
[1556527277.637934 s]:	received 1372704 bytes....
[1556527277.644349 s]:	received 1374152 bytes....
[1556527277.649447 s]:	received 1375600 bytes....
[1556527277.649932 s]:	received 1379944 bytes....
[1556527277.650353 s]:	received 1388136 bytes....
[1556527277.650371 s]:	received 1390080 bytes....
[1556527277.650720 s]:	received 1394424 bytes....
[1556527277.650789 s]:	received 1398768 bytes....
[1556527277.650852 s]:	received 1400216 bytes....
[1556527277.651478 s]:	received 1408408 bytes....
[1556527277.651497 s]:	received 1410352 bytes....
[1556527277.651788 s]:	received 1414696 bytes....
[1556527277.651857 s]:	received 1419040 bytes....
[1556527277.651892 s]:	received 1420488 bytes....
[1556527277.651954 s]:	received 1421936 bytes....
[1556527277.652019 s]:	received 1423384 bytes....
[1556527277.652372 s]:	received 1427728 bytes....
[1556527277.652694 s]:	received 1435920 bytes....
[1556527277.652712 s]:	received 1436416 bytes....
[1556527277.652743 s]:	received 1437864 bytes....
[1556527277.653043 s]:	received 1442208 bytes....
[1556527277.653390 s]:	received 1446552 bytes....
[1556527277.653794 s]:	received 1454744 bytes....
[1556527277.653826 s]:	received 1456688 bytes....
[1556527277.653838 s]:	received 1459584 bytes....
[1556527277.653897 s]:	received 1461032 bytes....
[1556527277.654418 s]:	received 1469224 bytes....
[1556527277.654444 s]:	received 1471168 bytes....
[1556527277.654780 s]:	received 1475512 bytes....
[1556527277.654842 s]:	received 1478408 bytes....
[1556527277.657728 s]:	received 1482752 bytes....
[1556527277.658048 s]:	received 1489992 bytes....
[1556527277.658121 s]:	received 1491440 bytes....
[1556527277.661967 s]:	received 1495784 bytes....
[1556527277.663103 s]:	received 1498680 bytes....
[1556527277.663144 s]:	received 1501576 bytes....
[1556527277.665640 s]:	received 1505920 bytes....
[1556527277.666000 s]:	received 1510264 bytes....
[1556527277.666093 s]:	received 1514608 bytes....
[1556527277.666179 s]:	received 1516056 bytes....
[1556527277.666223 s]:	received 1517504 bytes....
[1556527277.666655 s]:	received 1521848 bytes....
[1556527277.667070 s]:	received 1530040 bytes....
[1556527277.667088 s]:	received 1531984 bytes....
[1556527277.667145 s]:	received 1534880 bytes....
[1556527277.667196 s]:	received 1536328 bytes....
[1556527277.667526 s]:	received 1540672 bytes....
[1556527277.667944 s]:	received 1548864 bytes....
[1556527277.667971 s]:	received 1550808 bytes....
[1556527277.668358 s]:	received 1555152 bytes....
[1556527277.668811 s]:	received 1563344 bytes....
[1556527277.668829 s]:	received 1565288 bytes....
[1556527277.669173 s]:	received 1572528 bytes....
[1556527277.669216 s]:	received 1575424 bytes....
[1556527277.669340 s]:	received 1578320 bytes....
[1556527277.669846 s]:	received 1582664 bytes....
[1556527277.669888 s]:	received 1584112 bytes....
[1556527277.669943 s]:	received 1585560 bytes....
[1556527277.670022 s]:	received 1587008 bytes....
[1556527277.670096 s]:	received 1588456 bytes....
[1556527277.670174 s]:	received 1589904 bytes....
[1556527277.670622 s]:	received 1594248 bytes....
[1556527277.670701 s]:	received 1600040 bytes....
[1556527277.671043 s]:	received 1604384 bytes....
[1556527277.671468 s]:	received 1611624 bytes....
[1556527277.671878 s]:	received 1619816 bytes....
[1556527277.671896 s]:	received 1621760 bytes....
[1556527277.671921 s]:	received 1624656 bytes....
[1556527277.672006 s]:	received 1626104 bytes....
[1556527277.672078 s]:	received 1627552 bytes....
[1556527277.672492 s]:	received 1631896 bytes....
[1556527277.672569 s]:	received 1636240 bytes....
[1556527277.672608 s]:	received 1637688 bytes....
[1556527277.673101 s]:	received 1645880 bytes....
[1556527277.673119 s]:	received 1647824 bytes....
[1556527277.673457 s]:	received 1652168 bytes....
[1556527277.673539 s]:	received 1656512 bytes....
[1556527277.673583 s]:	received 1657960 bytes....
[1556527277.673907 s]:	received 1662304 bytes....
[1556527277.674215 s]:	received 1669544 bytes....
[1556527277.674511 s]:	received 1673888 bytes....
[1556527277.674608 s]:	received 1678232 bytes....
[1556527277.674666 s]:	received 1679680 bytes....
[1556527277.675134 s]:	received 1684024 bytes....
